2/17/2021,PASSAZHIRAVTOTRANS       SANKT-PETERBURU,-55,transport
2/17/2021,MEALTY.                  SANKT-PETERBURU,-120,office
2/17/2021,CITYMOBIL.               MOSCOW       RU,-371,transport
2/17/2021,CITYMOBIL.               MOSCOW       RU,-15,transport
2/17/2021,MAGNIT MM KOCHKOREZ      SANKT-PETERBURU,-404.96,food
2/16/2021,WB DYI                   PODOLSK      RU,-8233,goods
2/16/2021,IP PALAMARCHUK A.V.      ST.-PETERSBURRU,-970,unspecified
2/16/2021,ULYBKA RADUGI            SANKT-PETERBURU,-903,food
2/16/2021,LYUDI LYUBYAT            SANKT-PETERBURU,-49,food
2/16/2021,MEALTY.                  SANKT-PETERBURU,-300,office
2/16/2021,MAGNIT MM KOCHKOREZ      SANKT-PETERBURU,-865.39,food
2/16/2021,RIOMAG                   SANKT-PETERBURU,-1482.54,food
2/15/2021,BUSHE                    SAINT PETERSBRU,-1011.2,cafe
2/15/2021,MEALTY.                  SANKT-PETERBURU,-480,office
2/15/2021,PEREKRESTOK LYZHNYY      SANKT-PETERBURU,-2052.65,food
2/15/2021,PEREKRESTOK LYZHNYY      SANKT-PETERBURU,-6.49,food
2/14/2021,LOCCITANE                SAINT PETERSBRU,-1700.5,goods
2/14/2021,DECATHLON OHT            SANKT-PETERBURU,-4810,goods
2/14/2021,MAGNIT MM KOCHKOREZ      SANKT-PETERBURU,-452.09,food
2/14/2021,PEKARNYA BULKA KHLEBA    SANKT-PETERBURU,-202.4,food
2/14/2021,DO DO BOGATYRSKIJ        SANKT-PETERBURU,-274,cafe
2/13/2021,METRO.SPB.RU             St PetersburgRU,-500,transport
2/13/2021,PRISMA                   SANKT-PETERBURU,-680.1,food
2/13/2021,PEKARNYA ULITKA          SANKT-PETERBURU,-255,cafe
2/13/2021,MAGNIT MM KOCHKOREZ      SANKT-PETERBURU,-875.34,food
2/13/2021,UBER                     MOSCOW       RU,-424,transport
2/13/2021,MAGNIT MM YUNTOLOVKA     SANKT-PETERBURU,-25.99,food
2/13/2021,CAFFE ITALIA             SANKT-PETERBURU,-2400,restaurant
2/13/2021,CAFFE ITALIA             SANKT-PETERBURU,-200,restaurant
2/12/2021,SAMOKAT                  SANKT-PETERBURU,-213,food
2/12/2021,KRASNOE BELOE            SANKT-PETERBURU,-304.65,food
2/12/2021,LYUDI LYUBYAT            SANKT-PETERBURU,-49,food
2/12/2021,MEALTY.                  SANKT-PETERBURU,-180,office
2/12/2021,DIXY-78061               SANKT-PETERBURU,-63.28,office
